timestamp,fps,dist_left,dist_center,dist_right,detected_objects,command
14:49:48.102,1.37,0.72,0.69,0.75,None,STOP
14:49:48.469,7.00,0.48,0.51,1.48,person,STOP
14:49:48.616,7.09,0.46,0.48,1.66,person,STOP
14:49:48.764,6.97,0.47,0.51,1.79,person,STOP
14:49:48.908,7.09,0.47,0.49,2.14,person,STOP
14:49:49.072,6.49,0.45,0.48,1.85,person,STOP
14:49:49.221,7.69,0.46,0.48,1.85,person,STOP
14:49:49.387,6.45,0.46,0.51,2.08,person,STOP
14:49:49.531,8.00,0.45,0.48,2.11,person,STOP
14:49:49.666,8.30,0.45,0.47,1.77,person,STOP
14:49:49.802,7.70,0.44,0.48,1.79,person,STOP
14:49:49.919,9.13,0.46,0.49,2.00,person,STOP
14:49:50.069,7.49,0.46,0.49,2.02,person,STOP
14:49:50.190,8.66,0.46,0.49,1.86,person,STOP
14:49:50.312,8.86,0.46,0.50,1.98,person,STOP
14:49:50.438,8.10,0.46,0.49,2.01,person,STOP
14:49:50.569,8.37,0.46,0.50,1.84,person,STOP
14:49:50.749,5.71,0.45,0.48,2.14,person,STOP
14:49:50.927,6.06,0.46,0.47,1.79,person,STOP
14:49:51.090,6.40,0.50,0.52,1.63,person,STOP
14:49:51.232,7.93,0.48,0.50,1.62,person,STOP
14:49:51.361,8.81,0.47,0.50,1.66,person,STOP
14:49:51.487,8.16,0.49,0.50,2.09,person,STOP
14:49:51.610,8.93,0.49,0.50,1.44,person,STOP
14:49:51.739,8.58,0.47,0.48,1.86,person,STOP
14:49:51.865,8.63,0.45,0.47,1.76,person,STOP
14:49:52.006,7.60,0.44,0.47,1.52,person,STOP
14:49:52.116,9.85,0.46,0.48,1.47,person,STOP
14:49:52.239,8.58,0.46,0.48,1.51,person,STOP
14:49:52.370,8.18,0.52,0.52,1.34,person,STOP
14:49:52.504,8.63,0.53,0.53,1.16,person,STOP
14:49:52.627,8.61,0.52,0.52,0.67,person,STOP
14:49:52.750,8.73,0.51,0.51,0.60,person,STOP
14:49:52.871,8.89,0.46,0.47,0.53,person,STOP
14:49:53.013,7.81,0.43,0.44,0.49,person|cat,STOP
14:49:53.142,8.58,0.48,0.48,0.54,person,STOP
14:49:53.275,8.03,0.71,0.48,0.63,person,STOP
14:49:53.409,8.40,0.77,0.49,0.52,person,STOP
14:49:53.531,8.58,0.87,0.52,0.53,person,STOP
14:49:53.649,8.58,1.06,0.78,0.53,person,STOP
14:49:53.772,8.37,1.07,1.06,0.48,person,HATI-HATI
14:49:53.902,7.80,1.22,1.11,0.48,person,HATI-HATI
14:49:54.036,8.58,1.15,1.24,0.48,person,HATI-HATI
14:49:54.165,8.44,1.32,1.24,0.43,person,HATI-HATI
14:49:54.290,8.30,1.06,1.07,0.44,person,HATI-HATI
14:49:54.435,7.15,0.99,1.15,0.42,person|tv,HATI-HATI
14:49:54.581,7.76,1.03,1.22,0.42,person|clock,HATI-HATI
14:49:54.706,8.82,1.10,1.25,0.41,person|tv,HATI-HATI
14:49:54.821,9.57,1.15,1.56,0.43,person,MAJU
14:49:54.946,8.30,1.03,1.65,0.41,person,MAJU
14:49:55.061,9.06,1.17,1.76,0.43,person|tv,MAJU
14:49:55.200,7.32,1.23,1.49,0.41,person|tv,HATI-HATI
14:49:55.350,7.49,1.11,1.44,0.43,person|tv,HATI-HATI
14:49:55.481,8.10,1.03,1.26,0.40,person|tv,HATI-HATI
14:49:55.619,8.26,1.00,1.64,0.42,person|tv,MAJU
14:49:55.750,7.90,1.02,1.66,0.44,person,MAJU
14:49:55.889,8.16,1.03,1.41,0.43,person,HATI-HATI
14:49:56.026,8.41,0.99,1.43,0.43,person|tv,HATI-HATI
14:49:56.153,8.23,0.98,1.48,0.42,person,HATI-HATI
14:49:56.272,8.81,1.07,1.43,0.42,person,HATI-HATI
14:49:56.402,8.44,1.05,1.35,0.43,person,HATI-HATI
14:49:56.527,8.51,1.08,1.51,0.44,person,MAJU
14:49:56.649,8.86,0.95,1.43,0.45,person,HATI-HATI
14:49:56.781,8.30,1.13,1.63,0.46,person,MAJU
14:49:56.897,8.97,1.20,1.68,0.49,person,MAJU
14:49:57.025,8.89,1.36,1.66,0.47,person|person,MAJU
14:49:57.143,9.48,1.29,1.51,0.46,person|tv,MAJU
14:49:57.265,8.44,1.01,1.75,0.44,person|tv,MAJU
14:49:57.384,9.06,1.04,1.83,0.46,person,MAJU
14:49:57.511,8.93,1.30,1.82,0.46,person,MAJU
14:49:57.652,7.72,1.24,1.71,0.47,person,MAJU
14:49:57.791,8.03,1.27,1.48,0.48,person|tv,HATI-HATI
14:49:57.920,8.85,1.19,1.55,0.45,person,MAJU
14:49:58.049,8.45,1.13,1.74,0.48,person,MAJU
14:49:58.181,7.97,1.19,1.36,0.44,person,HATI-HATI
14:49:58.317,8.31,1.20,1.20,0.45,person,HATI-HATI
14:49:58.446,7.97,1.07,1.17,0.43,person,HATI-HATI
14:49:58.559,8.97,1.05,1.00,0.44,person,HATI-HATI
14:49:58.682,8.97,1.00,0.47,0.47,person,STOP
14:49:58.812,8.54,0.82,0.50,0.53,person,STOP
14:49:58.925,9.05,1.03,0.48,0.57,person,STOP
14:49:59.037,9.48,0.87,0.47,0.91,person,STOP
14:49:59.158,8.66,0.95,0.46,0.96,person,STOP
14:49:59.287,8.30,0.63,0.49,1.10,person,STOP
14:49:59.419,8.77,0.52,0.49,1.28,person|person,STOP
14:49:59.563,7.60,0.58,0.49,1.46,person,STOP
14:49:59.691,8.03,0.49,0.48,1.49,person,STOP
14:49:59.848,6.71,0.49,0.49,1.58,person,STOP
14:50:00.002,6.90,0.49,0.50,1.64,person|person,STOP
14:50:00.138,7.48,0.50,0.50,1.61,person,STOP
14:50:00.288,7.60,0.50,0.50,1.37,person,STOP
14:50:00.421,8.00,0.49,0.48,1.41,person,STOP
14:50:00.551,8.94,0.49,0.45,1.45,person,STOP
14:50:00.676,8.10,0.88,0.48,0.95,person,STOP
14:50:00.808,8.37,1.02,0.46,0.82,person,STOP
14:50:00.936,8.23,0.77,0.48,0.54,person,STOP
14:50:01.053,8.81,1.07,0.49,0.51,person,STOP
14:50:01.182,8.58,1.07,0.93,0.51,person,HATI-HATI
14:50:01.306,8.58,1.21,1.09,0.52,person,HATI-HATI
14:50:01.438,8.23,1.24,1.12,0.53,person,HATI-HATI
14:50:01.562,8.37,1.19,1.12,0.50,person|tv,HATI-HATI
14:50:01.694,7.97,1.21,1.09,0.50,person,HATI-HATI
14:50:01.833,8.00,1.10,1.13,0.51,person,HATI-HATI
14:50:01.983,7.41,1.13,1.09,0.51,person,HATI-HATI
14:50:02.111,8.26,1.12,1.13,0.48,person,HATI-HATI
14:50:02.243,8.66,1.24,1.10,0.49,person,HATI-HATI
14:50:02.367,8.66,1.04,1.11,0.51,person,HATI-HATI
14:50:02.514,7.35,1.30,1.18,0.51,person,HATI-HATI
